PROBEID	ENTREZID	SYMBOL	GENENAME
1552755_at	157983	DOCK8-AS1	DOCK8 antisense RNA 1
1552757_s_at	157983	DOCK8-AS1	DOCK8 antisense RNA 1
1552758_at	9734	HDAC9	histone deacetylase 9
1552760_at	9734	HDAC9	histone deacetylase 9
1552761_at	162515	SLC16A11	solute carrier family 16 member 11
1552763_at	91147	TMEM67	transmembrane protein 67
1552765_x_at	91147	TMEM67	transmembrane protein 67
1552766_at	90161	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
1552767_a_at	90161	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
1552768_at	84254	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
1552769_at	90589	ZNF625	zinc finger protein 625
1552770_s_at	147837	ZNF563	zinc finger protein 563
1552771_a_at	286826	LIN9	lin-9 DREAM MuvB core complex component
1552772_at	338339	CLEC4D	C-type lectin domain family 4 member D
1552773_at	338339	CLEC4D	C-type lectin domain family 4 member D
1552774_a_at	9481	SLC25A27	solute carrier family 25 member 27
1552775_at	222545	GPRC6A	G protein-coupled receptor class C group 6 member A
1552777_a_at	135250	RAET1E	retinoic acid early transcript 1E
1552779_a_at	204962	SLC44A5	solute carrier family 44 member 5
1552782_at	204962	SLC44A5	solute carrier family 44 member 5
1552783_at	147687	ZNF417	zinc finger protein 417
1552785_at	163115	ZNF781	zinc finger protein 781 (pseudogene)
1552787_at	92797	HELB	DNA helicase B
1552788_a_at	92797	HELB	DNA helicase B
1552789_at	7095	SEC62	SEC62 preprotein translocation factor
1552790_a_at	7095	SEC62	SEC62 preprotein translocation factor
1552791_a_at	10345	TRDN	triadin
1552792_at	122809	SOCS4	suppressor of cytokine signaling 4
1552793_at	286122	LY6S-AS1	LY6S antisense RNA 1
1552794_a_at	284306	ZNF547	zinc finger protein 547
1552796_a_at	6492	SIM1	SIM bHLH transcription factor 1
1552797_s_at	150696	PROM2	prominin 2
1552798_a_at	7099	TLR4	toll like receptor 4
1552799_at	203062	TSNARE1	t-SNARE domain containing 1
1552800_at	83451	ABHD11	abhydrolase domain containing 11
1552801_at	92291	CAPN13	calpain 13
1552803_a_at	3925	STMN1	stathmin 1
1552804_a_at	114609	TIRAP	TIR domain containing adaptor protein
1552806_a_at	89790	SIGLEC10	sialic acid binding Ig like lectin 10
1552807_a_at	89790	SIGLEC10	sialic acid binding Ig like lectin 10
1552808_at	92949	ADAMTSL1	ADAMTS like 1
1552809_at	5992	RFX4	regulatory factor X4
1552811_at	117166	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
1552812_a_at	29843	SENP1	SUMO specific peptidase 1
1552813_at	136259	KLF14	KLF transcription factor 14
1552814_a_at	136259	KLF14	KLF transcription factor 14
1552816_at	158046	NXNL2	nucleoredoxin like 2
1552818_a_at	680	BRS3	bombesin receptor subtype 3
1552819_at			
1552822_at	54495	TMX3	thioredoxin related transmembrane protein 3
1552825_at	252884	ZNF396	zinc finger protein 396
1552826_at	115111	SLC26A7	solute carrier family 26 member 7
1552827_s_at	115111	SLC26A7	solute carrier family 26 member 7
1552828_at	112574	SNX18	sorting nexin 18
1552829_at			
1552830_at	162517	FBXO39	F-box protein 39
1552833_at	192134	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
1552834_at	192134	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
1552835_at	163486	DENND1B	DENN domain containing 1B
1552836_at	285267	ZNF619	zinc finger protein 619
1552837_at	22858	CILK1	ciliogenesis associated kinase 1
1552839_at	161142	GARIN2	golgi associated RAB2 interactor family member 2
1552841_s_at	79370	BCL2L14	BCL2 like 14
1552842_at	266722	HS6ST3	heparan sulfate 6-O-sulfotransferase 3
1552843_at	10861	SLC26A1	solute carrier family 26 member 1
1552845_at	24146	CLDN15	claudin 15
1552846_s_at	115273	RAB42	RAB42, member RAS oncogene family
1552848_a_at	139411	PTCHD1	patched domain containing 1
1552849_at	130951	M1AP	meiosis 1 associated protein
1552851_at	201516	ZSCAN4	zinc finger and SCAN domain containing 4
1552852_a_at	201516	ZSCAN4	zinc finger and SCAN domain containing 4
1552853_at	127731	VWA5B1	von Willebrand factor A domain containing 5B1
1552854_a_at	127731	VWA5B1	von Willebrand factor A domain containing 5B1
1552856_at	197196	LINC00311	long intergenic non-protein coding RNA 311
1552857_a_at	3362	HTR6	5-hydroxytryptamine receptor 6
1552858_at	158809	MAGEB6	MAGE family member B6
1552860_at	100506888	ELOA3DP	elongin A3 family member D, pseudogene
1552860_at	162699	ELOA3P	elongin A3, pseudogene
